% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 92.15    0.105391         211       500           read
  5.05    0.005772         412        14           munmap
  0.60    0.000685           1       552           fstat
  0.48    0.000553           2       238         2 openat
  0.43    0.000489           2       251        52 stat
  0.37    0.000422           1       448         6 lseek
  0.24    0.000273           1       239           close
  0.22    0.000257           3        84           getdents
  0.15    0.000176           1       144       133 ioctl
  0.10    0.000116           2        52           mmap
  0.07    0.000085          21         4         2 readlink
  0.05    0.000054           3        16           brk
  0.04    0.000045           1        40           lstat
  0.01    0.000012          12         1           sysinfo
  0.01    0.000011          11         1           getrandom
  0.01    0.000009           1        10           futex
  0.01    0.000007           2         3           dup
  0.01    0.000007           2         3           sigaltstack
  0.00    0.000005           2         3           fcntl
  0.00    0.000000           0         1           write
  0.00    0.000000           0        20           mprotect
  0.00    0.000000           0        68           rt_sigaction
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0        10        10 access
  0.00    0.000000           0         1           getpid
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.114369                  2714       205 total
