Fri Jan  3 14:57:29 2020    profile.txt

         5497 function calls (5331 primitive calls) in 0.862 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      131    0.716    0.005    0.716    0.005 {method 'update' of '_hashlib.HASH' objects}
      263    0.115    0.000    0.115    0.000 {method 'read' of '_io.BufferedReader' objects}
      132    0.011    0.000    0.844    0.006 script.py:22(get_sha256_hash)
        1    0.004    0.004    0.004    0.004 {built-in method _imp.create_dynamic}
    27/25    0.002    0.000    0.002    0.000 {built-in method builtins.__build_class__}
      132    0.001    0.000    0.001    0.000 {built-in method io.open}
        2    0.001    0.001    0.001    0.001 {built-in method marshal.loads}
      188    0.001    0.000    0.001    0.000 /usr/lib/python3.6/posixpath.py:75(join)
      206    0.001    0.000    0.001    0.000 {built-in method builtins.next}
   142/36    0.000    0.000    0.002    0.000 /usr/lib/python3.6/os.py:277(walk)
       39    0.000    0.000    0.000    0.000 {built-in method posix.stat}
      7/5    0.000    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:470(_parse)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
     17/4    0.000    0.000    0.001    0.000 /usr/lib/python3.6/sre_compile.py:64(_compile)
        1    0.000    0.000    0.851    0.851 script.py:34(main)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
       33    0.000    0.000    0.000    0.000 {built-in method posix.scandir}
       32    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
      132    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.6/gettext.py:466(find)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.6/gettext.py:205(_expand_lang)
      333    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
    28/15    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:173(getwidth)
       77    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:163(__getitem__)
       10    0.000    0.000    0.003    0.000 /usr/lib/python3.6/re.py:286(_compile)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
      408    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.6/argparse.py:1316(add_argument)
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:830(get_data)
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:870(_find_spec)
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.6/argparse.py:1235(__init__)
       20    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:803(__and__)
      6/4    0.000    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:407(_parse_sub)
      5/2    0.000    0.000    0.011    0.005 <frozen importlib._bootstrap>:966(_find_and_load)
      189    0.000    0.000    0.000    0.000 /usr/lib/python3.6/posixpath.py:41(_get_sep)
        4    0.000    0.000    0.002    0.001 /usr/lib/python3.6/sre_compile.py:557(compile)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
       41    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.006    0.006 /usr/lib/python3.6/hashlib.py:54(<module>)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_compile.py:482(_compile_info)
      5/2    0.000    0.000    0.010    0.005 <frozen importlib._bootstrap>:651(_load_unlocked)
       34    0.000    0.000    0.000    0.000 /usr/lib/python3.6/argparse.py:1287(register)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_compile.py:250(_optimize_charset)
      241    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       38    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:232(__next)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.6/argparse.py:62(<module>)
       35    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       44    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:517(__new__)
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.6/argparse.py:166(__init__)
      133    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
       14    0.000    0.000    0.001    0.000 /usr/lib/python3.6/hashlib.py:116(__get_openssl_constructor)
      236    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      229    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       44    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:267(__call__)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.6/argparse.py:1613(__init__)
  159/149    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:318(__exit__)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        4    0.000    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:844(parse)
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:743(get_code)
       24    0.000    0.000    0.000    0.000 /usr/lib/python3.6/genericpath.py:16(exists)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
       32    0.000    0.000    0.000    0.000 /usr/lib/python3.6/posixpath.py:168(islink)
       64    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.6/os.py:664(__getitem__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
       55    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      100    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       43    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       25    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:171(append)
       31    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:253(get)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/argparse.py:1784(_parse_known_args)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_compile.py:223(_compile_charset)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_compile.py:388(_simple)
        6    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/argparse.py:1749(parse_known_args)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.6/argparse.py:1373(_add_action)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/argparse.py:1542(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.6/locale.py:379(normalize)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
        5    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:564(module_from_spec)
      173    0.000    0.000    0.000    0.000 {method 'is_dir' of 'posix.DirEntry' objects}
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
